serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
seqneut25to26_sera_0023,A/Alagoas/4130/2025_H3N2,plate3-A/Alagoas/4130/2025_H3N2,40,0.0001356,0.0001356
seqneut25to26_sera_0023,A/Alagoas/4130/2025_H3N2,plate3-A/Alagoas/4130/2025_H3N2,92,0,0
seqneut25to26_sera_0023,A/Alagoas/4130/2025_H3N2,plate3-A/Alagoas/4130/2025_H3N2,212,0.0001191,0.0001191
seqneut25to26_sera_0023,A/Alagoas/4130/2025_H3N2,plate3-A/Alagoas/4130/2025_H3N2,487,0.0005315,0.0005315
seqneut25to26_sera_0023,A/Alagoas/4130/2025_H3N2,plate3-A/Alagoas/4130/2025_H3N2,1119,0.04462,0.04462
seqneut25to26_sera_0023,A/Alagoas/4130/2025_H3N2,plate3-A/Alagoas/4130/2025_H3N2,2575,0.4401,0.4401
seqneut25to26_sera_0023,A/Alagoas/4130/2025_H3N2,plate3-A/Alagoas/4130/2025_H3N2,5921,0.5551,0.5551
seqneut25to26_sera_0023,A/Alagoas/4130/2025_H3N2,plate3-A/Alagoas/4130/2025_H3N2,1.362e+04,0.6463,0.6463
seqneut25to26_sera_0023,A/Anapolis/LEIAL6543/2025_H3N2,plate3-A/Anapolis/LEIAL6543/2025_H3N2,40,0,0
seqneut25to26_sera_0023,A/Anapolis/LEIAL6543/2025_H3N2,plate3-A/Anapolis/LEIAL6543/2025_H3N2,92,0,0
seqneut25to26_sera_0023,A/Anapolis/LEIAL6543/2025_H3N2,plate3-A/Anapolis/LEIAL6543/2025_H3N2,212,0.0001084,0.0001084
seqneut25to26_sera_0023,A/Anapolis/LEIAL6543/2025_H3N2,plate3-A/Anapolis/LEIAL6543/2025_H3N2,487,0.007742,0.007742
seqneut25to26_sera_0023,A/Anapolis/LEIAL6543/2025_H3N2,plate3-A/Anapolis/LEIAL6543/2025_H3N2,1119,0.08393,0.08393
seqneut25to26_sera_0023,A/Anapolis/LEIAL6543/2025_H3N2,plate3-A/Anapolis/LEIAL6543/2025_H3N2,2575,0.4378,0.4378
seqneut25to26_sera_0023,A/Anapolis/LEIAL6543/2025_H3N2,plate3-A/Anapolis/LEIAL6543/2025_H3N2,5921,0.6174,0.6174
seqneut25to26_sera_0023,A/Anapolis/LEIAL6543/2025_H3N2,plate3-A/Anapolis/LEIAL6543/2025_H3N2,1.362e+04,0.8049,0.8049
seqneut25to26_sera_0023,A/Andalucia/PMC-00977/2025_H1N1,plate3-A/Andalucia/PMC-00977/2025_H1N1,40,0.1436,0.1436
seqneut25to26_sera_0023,A/Andalucia/PMC-00977/2025_H1N1,plate3-A/Andalucia/PMC-00977/2025_H1N1,92,0.997,0.997
seqneut25to26_sera_0023,A/Andalucia/PMC-00977/2025_H1N1,plate3-A/Andalucia/PMC-00977/2025_H1N1,212,1.405,1
seqneut25to26_sera_0023,A/Andalucia/PMC-00977/2025_H1N1,plate3-A/Andalucia/PMC-00977/2025_H1N1,487,1.173,1
seqneut25to26_sera_0023,A/Andalucia/PMC-00977/2025_H1N1,plate3-A/Andalucia/PMC-00977/2025_H1N1,1119,1.058,1
seqneut25to26_sera_0023,A/Andalucia/PMC-00977/2025_H1N1,plate3-A/Andalucia/PMC-00977/2025_H1N1,2575,1.119,1
seqneut25to26_sera_0023,A/Andalucia/PMC-00977/2025_H1N1,plate3-A/Andalucia/PMC-00977/2025_H1N1,5921,0.7968,0.7968
seqneut25to26_sera_0023,A/Andalucia/PMC-00977/2025_H1N1,plate3-A/Andalucia/PMC-00977/2025_H1N1,1.362e+04,0.9035,0.9035
seqneut25to26_sera_0023,A/Aragon/2046/2025_H1N1,plate3-A/Aragon/2046/2025_H1N1,40,0.2221,0.2221
seqneut25to26_sera_0023,A/Aragon/2046/2025_H1N1,plate3-A/Aragon/2046/2025_H1N1,92,0.7194,0.7194
seqneut25to26_sera_0023,A/Aragon/2046/2025_H1N1,plate3-A/Aragon/2046/2025_H1N1,212,1.62,1
seqneut25to26_sera_0023,A/Aragon/2046/2025_H1N1,plate3-A/Aragon/2046/2025_H1N1,487,1.102,1
seqneut25to26_sera_0023,A/Aragon/2046/2025_H1N1,plate3-A/Aragon/2046/2025_H1N1,1119,0.9388,0.9388
seqneut25to26_sera_0023,A/Aragon/2046/2025_H1N1,plate3-A/Aragon/2046/2025_H1N1,2575,1.268,1
seqneut25to26_sera_0023,A/Aragon/2046/2025_H1N1,plate3-A/Aragon/2046/2025_H1N1,5921,0.7494,0.7494
seqneut25to26_sera_0023,A/Aragon/2046/2025_H1N1,plate3-A/Aragon/2046/2025_H1N1,1.362e+04,0.9511,0.9511
seqneut25to26_sera_0023,A/Arica/59150/2025_H3N2,plate3-A/Arica/59150/2025_H3N2,40,7.513e-05,7.513e-05
seqneut25to26_sera_0023,A/Arica/59150/2025_H3N2,plate3-A/Arica/59150/2025_H3N2,92,0.0009319,0.0009319
seqneut25to26_sera_0023,A/Arica/59150/2025_H3N2,plate3-A/Arica/59150/2025_H3N2,212,0.000569,0.000569
